As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids
"[0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1
 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0
 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 1 1 1 0 0 1 0 0]",[0 1 0 4 2 4 1 1 1 0 0],[ 0  9  6 10  2  3  7  5  7  0  0],False,True,0.25,0.46875,"[7, 3, 4, 9, 7, 8, 0, 3, 4, 8, 6]","[2, 4, 10, 5, 2, 4, 0, 6, 9, 2, 4]",False,False,0.0,0.0,[0. 1. 1. 6. 3. 5. 6. 5. 7. 0. 4.],[ 0.  9.  5. 10.  7.  4.  8.  1.  7.  0.  2.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 2. 0. 4. 2. 4. 1. 1. 1. 1. 0.],[ 0.  4.  0.  8.  2.  4.  1.  2. 10.  2.  2.],True,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0
 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0
 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1
 1 1 0 0 0 0 0 1 1 1]",[0 0 2 0 1 1 3 0 0 0 0],[ 0  5  8  2  1  3  3  9  0 10  7],False,False,0.25,0.46875,"[6, 8, 9, 8, 10, 1, 8, 4, 2, 5, 8]","[2, 1, 3, 8, 8, 6, 1, 6, 8, 1, 4]",False,False,0.0,0.0,[2. 8. 4. 7. 1. 5. 3. 5. 9. 9. 0.],[0. 6. 1. 1. 5. 8. 7. 3. 9. 2. 1.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[1. 5. 2. 6. 2. 3. 3. 1. 2. 0. 0.],[0. 0. 4. 2. 1. 8. 4. 9. 0. 6. 2.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0
 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 1
 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1
 0 0 0 0 1 0 0 1 1 0]",[1 0 0 1 0 1 1 2 0 0 3],[ 0  0  4  9  5 10  1  6  0  7  8],False,True,0.25,0.46875,"[10, 2, 10, 3, 8, 7, 8, 2, 6, 9, 6]","[5, 6, 3, 2, 2, 4, 6, 1, 9, 6, 3]",False,False,0.0,0.0,[1. 1. 2. 7. 4. 4. 6. 5. 2. 0. 9.],[ 0.  5.  0.  9.  6. 10.  3.  6.  2.  9.  4.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 6. 5. 2. 0. 1. 2. 5. 1. 3. 3.],[ 0.  0.  5.  2.  5. 10.  3.  6. 10.  7.  9.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
 1 0 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 0
 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1
 0 1 0 1 0 0 1 0 1 0]",[0 1 0 0 1 6 0 0 0 0 0],[ 0  8 10  0 10  6  4  3  2  2  5],False,False,0.25,0.46875,"[1, 4, 1, 6, 5, 8, 2, 0, 2, 4, 9]","[7, 8, 10, 4, 7, 10, 4, 1, 7, 3, 8]",False,False,0.0,0.0,[8. 1. 2. 3. 4. 9. 4. 3. 5. 6. 0.],[ 0.  7.  2.  2.  1.  9.  1. 10.  0.  4.  3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[1. 4. 1. 1. 1. 6. 3. 3. 6. 0. 5.],[0. 4. 9. 0. 1. 6. 3. 5. 5. 4. 5.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0
 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 0
 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0
 0 0 1 1 0 0 1 1 1 0]",[0 1 1 0 0 2 2 2 1 0 3],[ 0  7  1  0 10  3  2  2  4  0  7],False,False,0.25,0.46875,"[4, 8, 8, 9, 4, 3, 1, 3, 4, 10, 4]","[9, 6, 2, 2, 3, 4, 7, 4, 3, 0, 4]",False,False,0.0,0.0,[10.  1.  2.  0.  6.  3.  2.  7.  4.  5. 10.],[ 0.  4.  7.  6.  8.  7.  5. 10.  2.  0.  3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0.  6.  2.  0.  1.  3.  8.  2. 10.  5.  3.],[ 0.  5.  8.  0.  0.  3.  9.  5. 10.  0.  6.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1
 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0
 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1
 0 1 0 0 1 0 1 1 0 1]",[0 0 2 2 1 0 0 1 1 9 0],[ 0  4  8  2  6  1  0 10  3  9  1],False,False,0.25,0.46875,"[10, 7, 7, 6, 5, 3, 3, 7, 10, 4, 7]","[0, 4, 3, 5, 8, 1, 10, 10, 6, 6, 10]",False,False,0.0,0.0,[ 9.  4.  3.  7.  6.  5.  0.  7.  1.  9. 10.],[ 0.  4.  9.  3.  2.  0.  5. 10.  1.  9.  2.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[1. 0. 2. 2. 1. 1. 5. 1. 5. 9. 0.],[ 0.  7.  8.  5.  3.  1.  5.  2. 10.  9.  6.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1
 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1
 0 0 0 0 0 1 1 1 0 0]",[0 1 1 0 0 0 1 0 0 1 1],[ 0  5  8  1  6  3 10 10  0  4  9],False,False,0.25,0.46875,"[2, 0, 4, 1, 1, 2, 4, 6, 10, 3, 2]","[10, 3, 7, 10, 3, 4, 8, 10, 6, 2, 6]",False,False,0.0,0.0,[0. 1. 8. 3. 3. 1. 7. 0. 9. 9. 2.],[ 0.  5.  4.  0.  7.  7. 10.  8.  8.  2.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[2. 8. 1. 1. 6. 3. 1. 0. 2. 7. 2.],[ 0.  5.  8.  1.  6.  3. 10.  0.  0.  4.  9.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0
 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 1 1 0 0
 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1
 1 1 0 1 0 0 0 0 1 1]",[1 0 1 3 0 1 2 1 0 1 0],[0 0 6 3 0 1 5 1 7 4 2],False,True,0.25,0.46875,"[10, 1, 6, 0, 9, 9, 0, 2, 10, 3, 2]","[1, 0, 6, 9, 10, 10, 9, 0, 0, 8, 9]",False,False,0.0,0.0,[ 0. 10.  2.  8.  4.  6.  4.  0.  8.  9. 10.],[ 0.  5. 10.  3.  0.  6.  3.  1.  4.  2.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[2. 1. 4. 3. 3. 2. 2. 1. 0. 9. 8.],[ 0. 10.  9.  3.  0.  6.  2.  1.  4.  7.  0.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1
 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0
 1 0 0 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0
 1 0 1 0 0 0 1 0 0 0]",[0 0 0 5 0 0 1 0 0 4 5],[ 0  6  5 10  2  6  7  4  1  4  8],True,False,0.25,0.46875,"[6, 10, 1, 6, 6, 4, 4, 0, 6, 0, 1]","[4, 10, 6, 6, 7, 7, 2, 2, 1, 2, 9]",False,False,0.0,0.0,[0. 0. 2. 3. 4. 3. 1. 7. 6. 2. 8.],[ 0. 10.  6.  9.  8.  0.  7.  4.  1.  6.  3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[5. 0. 0. 5. 2. 0. 2. 9. 4. 5. 5.],[0. 0. 6. 8. 8. 3. 5. 4. 1. 4. 8.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1
 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1
 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1
 0 0 1 0 0 1 1 0 1 0]",[1 0 2 2 1 3 4 0 1 4 1],[0 0 9 2 1 3 4 0 2 4 1],False,True,0.25,0.46875,"[3, 4, 8, 2, 9, 0, 10, 0, 1, 7, 7]","[6, 9, 6, 1, 7, 2, 7, 7, 1, 1, 7]",False,False,0.0,0.0,[ 0.  1. 10.  3.  1.  8.  7.  0.  2.  9. 10.],[ 0.  0. 10.  7.  3.  8.  2.  6.  1.  4.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 1.  3.  9.  7.  1.  8. 10. 10.  1.  2.  1.],[0. 0. 9. 2. 1. 8. 4. 4. 2. 4. 9.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
