As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Beam_Model_Trees,Beam_True_Trees,Beam_Model_Mask,Beam_True_Mask,Beam_Model_Accuracy,Beam_True_Accuracy,Beam_Model_Uniques,Beam_Model_Valids_Uniques,Beam_Model_Valids,Beam_True_Uniques,Beam_True_Valids_Uniques,Beam_True_Valids,Greedy_Model_Trees,Greedy_True_Trees,Greedy_Model_Mask,Greedy_True_Mask,Greedy_Model_Accuracy,Greedy_True_Accuracy,Greedy_Model_Uniques,Greedy_Model_Valids_Uniques,Greedy_Model_Valids,Greedy_True_Uniques,Greedy_True_Valids_Uniques,Greedy_True_Valids
"[0.         0.70781353 0.         0.         0.70781353 0.
 0.         1.00049988 0.         0.         0.500999   0.
 0.         1.00049988 0.         0.        ]",[1 1 2 1],[1 1 2 1],True,True,1.0,1.0,"[0, 3, 0, 1]","[2, 0, 1, 1]",False,False,0.015625,0.03125,[1 1 2 1],[1 1 2 1],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[1. 1. 2. 1.],[1. 1. 2. 1.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.         0.         0.
 0.         1.00049988 0.         0.         0.500999   0.
 0.         1.00049988 0.         0.500999  ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 2, 2, 2]","[0, 3, 0, 3]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.         0.70781353 0.70781353 0.         0.
 0.         0.         0.70781353 0.         1.00049988 0.70781353
 0.70781353 0.         0.70781353 0.        ]",[0 1 0 0],[0 1 0 0],True,True,1.0,1.0,"[0, 2, 1, 2]","[1, 0, 1, 3]",False,False,0.015625,0.03125,[0 1 0 0],[0 1 0 0],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 0. 0.],[0. 1. 0. 0.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.         0.         0.500999   0.         0.500999
 0.         0.         0.         0.         0.500999   0.500999
 0.500999   0.         0.500999   0.500999  ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[2, 2, 3, 2]","[3, 0, 2, 3]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.         0.         0.500999
 1.00049988 0.         0.         1.00049988 0.500999   0.
 0.         0.         0.         0.500999  ]",[0 1 1 3],[0 1 1 3],True,True,1.0,1.0,"[2, 2, 0, 3]","[0, 2, 3, 2]",False,False,0.015625,0.03125,[0 1 1 3],[0 1 1 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 1. 3.],[0. 1. 1. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.      ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 3, 0, 1]","[1, 2, 0, 1]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.         0.         0.         0.         0.
 1.00049988 0.         0.         1.00049988 0.         0.
 0.         0.         0.         0.500999  ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[0, 1, 0, 0]","[0, 2, 2, 0]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.         0.         0.
 0.         0.70781353 0.         0.         0.500999   0.
 0.         0.70781353 0.         0.        ]",[0 3 2 3],[0 3 2 3],True,True,1.0,1.0,"[3, 1, 1, 1]","[0, 2, 2, 1]",False,False,0.015625,0.03125,[0 3 2 3],[0 3 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 3. 2. 3.],[0. 3. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.70781353 0.         1.00049988
 0.         0.         0.         0.         0.500999   0.
 0.70781353 0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[0, 0, 1, 0]","[2, 1, 3, 3]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0
"[0.         0.70781353 0.         0.         0.70781353 0.
 0.         0.         0.         0.         0.500999   1.00049988
 0.         0.         1.00049988 1.00049988]",[0 1 3 3],[0 1 3 3],True,True,1.0,1.0,"[0, 1, 2, 2]","[0, 2, 0, 2]",False,False,0.015625,0.03125,[0 1 3 3],[0 1 3 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 3. 3.],[0. 1. 3. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         1.00049988 0.         0.         0.500999
 0.70781353 0.         1.00049988 0.70781353 1.00049988 0.70781353
 0.         0.         0.70781353 1.00049988]",[2 2 2 2],[2 2 2 2],True,True,1.0,1.0,"[1, 2, 1, 0]","[0, 2, 1, 1]",False,False,0.015625,0.03125,[2 2 2 2],[2 2 2 2],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[2. 2. 2. 2.],[2. 2. 2. 2.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.70781353 0.         0.         0.500999
 0.         0.         0.70781353 0.         0.500999   0.
 0.         0.         0.         0.        ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[0, 2, 0, 0]","[1, 0, 0, 0]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.70781353 0.         1.00049988
 0.         0.         0.         0.         0.500999   0.
 0.70781353 0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 3, 3, 2]","[0, 0, 3, 2]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.         0.         0.70781353 0.         0.
 1.00049988 0.         0.         1.00049988 0.         0.
 0.70781353 0.         0.         1.00049988]",[0 1 1 3],[0 1 1 3],True,True,1.0,1.0,"[2, 1, 1, 2]","[0, 2, 1, 2]",False,False,0.015625,0.03125,[0 1 1 3],[0 1 1 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 1. 3.],[0. 1. 1. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 1.00049988 1.00049988 0.         1.00049988 0.500999
 0.500999   0.500999   1.00049988 0.500999   0.500999   1.00049988
 0.         0.500999   1.00049988 0.        ]",[0 0 0 1],[0 0 0 1],True,True,1.0,1.0,"[3, 1, 0, 2]","[3, 3, 3, 0]",False,False,0.015625,0.03125,[0 0 0 1],[0 0 0 1],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 0. 0. 1.],[0. 0. 0. 1.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.500999   0.
 0.         0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[1, 3, 3, 0]","[2, 2, 2, 3]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.         0.         0.         0.500999
 0.         0.70781353 0.         0.         0.         0.500999
 0.         0.70781353 0.500999   0.        ]",[0 3 3 3],[0 3 3 3],True,True,1.0,1.0,"[0, 1, 0, 0]","[0, 3, 2, 0]",False,False,0.015625,0.03125,[0 3 3 3],[0 3 3 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 3. 3. 3.],[0. 3. 3. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.500999   0.         1.00049988 0.500999   0.500999
 0.         0.         0.         0.         0.500999   0.
 1.00049988 0.         0.         0.        ]",[1 1 2 0],[1 1 2 0],True,True,1.0,1.0,"[2, 0, 3, 2]","[3, 3, 0, 1]",False,False,0.015625,0.03125,[1 1 2 0],[1 1 2 0],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[1. 1. 2. 0.],[1. 1. 2. 0.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.70781353 0.         0.         1.00049988
 0.70781353 0.         0.70781353 0.70781353 0.         0.
 0.         0.         0.         0.        ]",[2 1 1 3],[2 1 1 3],True,True,1.0,1.0,"[1, 2, 3, 0]","[2, 2, 3, 2]",False,False,0.015625,0.03125,[2 1 1 3],[2 1 1 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[2. 1. 1. 3.],[2. 1. 1. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.500999   0.
 0.         0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[2, 0, 3, 3]","[0, 1, 2, 0]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.500999   0.
 0.         0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 1, 2, 1]","[3, 0, 3, 3]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.70781353 0.         0.         0.
 0.         0.         0.70781353 0.         0.500999   0.
 0.         0.         0.         0.500999  ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 0, 3, 1]","[2, 0, 1, 2]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         0.         1.00049988 0.         1.00049988
 0.         0.         0.         0.         0.         0.
 1.00049988 0.         0.         0.        ]",[3 1 2 3],[3 1 2 3],True,True,1.0,1.0,"[3, 2, 3, 2]","[2, 2, 3, 3]",False,False,0.015625,0.03125,[3 1 2 3],[3 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[3. 1. 2. 3.],[3. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.         0.70781353 0.70781353 0.         0.
 0.         0.         0.70781353 0.         1.00049988 0.70781353
 0.70781353 0.         0.70781353 0.        ]",[0 1 0 0],[0 1 0 0],True,True,1.0,1.0,"[1, 3, 1, 1]","[3, 1, 3, 0]",False,False,0.015625,0.03125,[0 1 0 0],[0 1 0 0],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 0. 0.],[0. 1. 0. 0.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[1.00049988 0.70781353 0.         0.         0.70781353 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.00049988]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[2, 0, 2, 1]","[1, 0, 3, 1]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.       0.       0.       0.       0.       0.500999 0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.      ]",[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,"[3, 3, 1, 2]","[0, 2, 2, 2]",False,False,0.015625,0.03125,[0 1 2 3],[0 1 2 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[0. 1. 2. 3.],[0. 1. 2. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.         0.         0.70781353 0.         0.         1.00049988
 0.70781353 0.         0.70781353 0.70781353 0.         0.
 0.         0.         0.         0.        ]",[2 1 1 3],[2 1 1 3],True,True,1.0,1.0,"[0, 3, 0, 2]","[0, 2, 2, 3]",False,False,0.015625,0.03125,[2 1 1 3],[2 1 1 3],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,[2. 1. 1. 3.],[2. 1. 1. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
"[0.500999   0.         0.70781353 0.500999   0.         0.500999
 0.70781353 0.         0.70781353 0.70781353 1.00049988 0.
 0.500999   0.         0.         1.00049988]",[3 2 0 3],[3 2 0 3],True,True,1.0,1.0,"[3, 2, 0, 0]","[3, 2, 3, 3]",True,False,0.015625,0.03125,[3 2 0 3],[3 2 0 3],True,True,1.0,1.0,0.4,0.5,0.6,0.2,1.0,1.0,[3. 2. 0. 3.],[3. 2. 0. 3.],True,True,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0
